,,Data,Matéria,Estimado,Concluido,Estudado,Next
,,,Língua Portuguesa,01:00,01:00,Revisar verbo + Muitas questões de verbo,Verbo UFPR/Vunesp
,,,Noções de Legislação Penal Especial,01:15,01:30,6. Estatuto da Criança e do Adolescente (Lei nº 8.069/1990).,6. Estatuto da Criança e do Adolescente (Lei nº 8.069/1990).
58,51,29/05/2020,Noções de Direito Penal,01:00,01:00,Mapas Crimes contra administração pública,Mapa crimes contra o patrimônio
,,,Noções de Direito Processual Penal,01:00,01:00,Revisão geral + Estudar competência de novo,Complementar prova + estudar competência
,,,Noções de Direito Administrativo,01:30,01:30,Revisão retroativa,Revisão retroativa + exercícios
,,,Noções de Direito Constitucional,01:30,01:30,"Funções exclusivas do senado e da camara, do presidente, conselhos + estudar mais poder executivo e legislativo",Estudar poder legislativo
57,52,30/05/2020,Raciocínio Lógico,00:45,00:45,Questões UFPR + resto,Questões UFPR + resto
,,,Informática,00:45,00:45,Revisão primeiro -> exercícios VUNESP dps,Revisão primeiro -> exercícios VUNESP dps
,,,Língua Portuguesa,01:15,01:15,Verbo UFPR/Vunesp,
,,,Noções de Legislação Penal Especial,01:00,01:00,6. Estatuto da Criança e do Adolescente (Lei nº 8.069/1990).,6. Estatuto da Criança e do Adolescente (Lei nº 8.069/1990).
,,,Língua Portuguesa,01:15,01:15,Sintaxe,Sintaxe
56,53,31/05/2020,Noções de Direito Administrativo,01:30,01:30,Revisão retroativa + exercícios,PDF Poderes => Mapa + Consórcios públicos +Exercícios
,,,Noções de Direito Penal,01:00,01:00,Mapa crimes contra o patrimônio,Terminar de arrumar os mapas + revisar desde o começo
,,,Noções de Direito Constitucional,01:30,01:30,Estudar poder legislativo,PDF Poder Legislativo + Questões de poder legislativo
,,,Noções de Direito Processual Penal,01:00,01:00,Complementar prova + estudar competência,estudar competência
55,54,01/06/2020,Raciocínio Lógico,00:45,00:45,Questões,
,,,Informática,01:00,01:00,Questões Vunesp Policial,
,,,Noções de Legislação Penal Especial,01:15,01:15,6. Estatuto da Criança e do Adolescente (Lei nº 8.069/1990).,Terminar PDF (revisar parte do começo) => exercícios
,,,Língua Portuguesa,02:00,02:00,Sintaxe,Ler PDF sintaxe
54,55,02/06/2020,Noções de Direito Penal,00:45,00:45,Terminar de arrumar os mapas + revisar desde o começo,Revisar TODA a matéria em 1 aula
,,,Noções de Direito Administrativo,01:30,01:30,PDF Poderes => Mapa + Consórcios públicos +Exercícios,Exercícios retroativos
,,,Noções de Direito Processual Penal,01:00,01:00,estudar competência,Finalzinho de competência + revisar + Ex Competência +  Mapa competência
,,,Noções de Direito Constitucional,01:45,01:45,PDF Poder Legislativo + Questões de poder legislativo,Revisão rapida de poder legislativo e executivo + Questões de poder legislativo + poder Executivo
53,56,03/06/2020,Raciocínio Lógico,00:45,00:45,Questões,
,,,Informática,01:00,01:00,Questões Vunesp Policial,Revisar a matéria toda + questões área policiais
,,,Língua Portuguesa,02:00,02:00,Mapa sintaxe,10º Encontro aula 5
,,,Noções de Legislação Penal Especial,01:15,01:15,Terminar PDF (revisar parte do começo) => exercícios,
52,57,04/06/2020,Noções de Direito Administrativo,01:45,01:45,Exercícios retroativos,Revisão LULU (complementando meus mapas mentais) + exercícios 1-5
,,,Noções de Direito Penal,00:45,00:45,Revisar TODA a matéria em 1 aula,Revisar a partir de crimes contra o patrimônio + exercícios
,,,Noções de Direito Processual Penal,01:00,01:00,Finalzinho de competência + revisar + Ex Competência +  Mapa competência,Mapa de competência + Ver video de competência
,,,Noções de Direito Constitucional,01:30,01:30,Revisão rapida de poder legislativo e executivo + Questões de poder legislativo + poder Executivo,Revisão rapida de poder legislativo e executivo + Questões de poder legislativo + poder Executivo
51,58,05/06/2020,Raciocínio Lógico,00:45,00:45,Questões de matemática,Ler Raciocínio Lógico - Aula 03 + questões ufpr logica (1hr RLM e 45 inf)
,,,Informática,01:00,01:00,Revisar a matéria toda + questões área policiais,Questões VUNESP (45min)
,,,Língua Portuguesa,02:00,02:00,10º Encontro aula 5,12º Encontro aula 1
,,,Noções de Legislação Penal Especial,01:15,01:15,Terminar PDF (revisar parte do começo) => exercícios,Ver os vídeos e anotar
50,59,06/06/2020,Noções de Direito Administrativo,01:45,01:45,Revisão LULU (complementando meus mapas mentais) + exercícios 1-5,Serviços públicos
,,,Noções de Direito Penal,00:45,00:45,Revisar a partir de crimes contra o patrimônio + exercícios,Exercícios
,,,Noções de Direito Processual Penal,01:00,01:00,Mapa de competência + Ver video de competência,Complementar Mapa de competência com o PDF novo (a partir do segundo) + Exercícios
,,,Noções de Direito Constitucional,01:30,01:30,Revisão rapida de poder legislativo e executivo + Questões de poder legislativo + poder Executivo,Vídeo aula 07(complementando o mapa) + Defesa do estado
49,60,07/06/2020,Raciocínio Lógico,01:00,01:00,Ler Raciocínio Lógico - Aula 03 + questões ufpr logica (1hr RLM e 45 inf),Questões RLM Vunesp
,,,Informática,00:45,00:45,Questões VUNESP (45min),Questões VUNESP (45min)
,,,Língua Portuguesa,02:00,02:00,12º Encontro aula 1,Exercícios vunesp
,,,Noções de Legislação Penal Especial,01:15,01:15,Ver os vídeos e anotar,15-17 + PDF => Mapas mentais
48,61,08/06/2020,Noções de Direito Administrativo,01:30,01:30,Serviços públicos,Revisão rapido Serviços públicos + exercícios
,,,Noções de Direito Constitucional,01:45,01:30,Exercícios,Resumo de Defesa do estado
,,,Noções de Direito Processual Penal,01:00,0:0,Complementar Mapa de competência com o PDF novo (a partir do segundo) + Exercícios,
,,,Noções de Direito Penal,00:45,0:0,Exercícios,
47,62,09/06/2020,Raciocínio Lógico,01:00,01:00,Questões RLM Vunesp,Questões RLM Vunesp
,,,Informática,00:45,00:45,Questões VUNESP (45min),Fazer resumo das matérias
,,,Língua Portuguesa,02:00,02:00,Resumo de orações,Terminar Resumo de orações + Questões vunesp Sintaxe
,,,Noções de Legislação Penal Especial,01:15,01:15,15-17 + PDF => Mapas mentais,PDF ECA2 => Resumo + Exercícios
,,,Noções de Direito Processual Penal,01:00,01:00,Complementar Mapa de competência com o PDF novo (a partir do segundo) + Exercícios,Complementar Competência com o PDF novo (a partir do terceiro) + Exercícios
46,63,10/06/2020,Noções de Direito Administrativo,01:30,01:30,Revisão rapido Serviços públicos + exercícios,Botar no resumo a ultima folha da lulu (serviço) + revisar serviço rapidao + exercício
,,,Noções de Direito Processual Penal,00:45,01:45,Complementar Competência com o PDF novo (a partir do terceiro) + Exercícios,Revisão rápida + Exercícios
,,,Noções de Direito Constitucional,01:45,01:45,Resumo de Defesa do estado,Ordem social
,,,Noções de Direito Penal,02:00,02:00,Resumo de crimes contra a administração pública + Exercícios,Terminar resumo + Questões
45,64,11/06/2020,Raciocínio Lógico,01:00,01:00,Questões RLM Vunesp,Questões Matemática Vunesp
,,,Informática,00:45,00:45,Fazer resumo das matérias,Terminar resumo + Ler resumo
,,,Língua Portuguesa,02:00,02:00,Terminar Resumo de orações + Questões vunesp Sintaxe,Revisar rapido + Questões UFPR Sintaxe + Concordância
,,,Noções de Legislação Penal Especial,01:15,00:45,PDF ECA2 => Resumo + Exercícios,"Anotar Adoção e guarda, Transporte,"
44,65,12/06/2020,Noções de Direito Administrativo,01:30,01:30,Botar no resumo a ultima folha da lulu (serviço) + revisar serviço rapidao + exercício,7. Controle e responsabilização da administração: controle administrativo; controle judicial; controle legislativo; responsabilidade civil do Estado.
,,,Noções de Direito Processual Penal,00:45,00:45,Revisão rápida + Exercícios,Mapa mental => Resumo
,,,Noções de Direito Constitucional,01:45,01:45,Ordem social,Fauth 27:00 + PDF
,,,Noções de Direito Penal,01:00,01:00,Terminar resumo + Questões,Revisar toda matéria em 30 minutos + 30 minutos de questões
43,66,13/06/2020,Raciocínio Lógico,01:00,01:00,Questões Matemática Vunesp,Questões Matemática Vunesp
,,,Informática,00:45,00:45,Terminar resumo + Ler resumo,Estudar outlook
